"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.346567875E0,-3.957960010E-2,8.140718937E-2,-3.365126997E-2
3.356607875E0,-4.926019162E-2,5.053769425E-2,-2.058740146E-2
3.366648875E0,-5.630818754E-2,2.228363976E-2,-3.722614050E-2
3.376688875E0,-7.301872224E-2,2.392224036E-3,-6.524898112E-2
3.386728875E0,-8.096335828E-2,1.030301116E-2,-7.668028027E-2
3.396769875E0,-1.048439220E-1,-3.497223835E-3,-7.784620672E-2
3.406809875E0,-1.308628321E-1,-1.431969181E-2,-5.703391880E-2
3.416849875E0,-1.453746706E-1,-1.927716658E-2,-3.332006559E-2
3.426889875E0,-1.490597129E-1,4.036177881E-3,-3.822842240E-2
3.436930875E0,-1.456338167E-1,4.460684955E-3,-5.698080361E-2
3.446939875E0,-1.426983327E-1,8.209737018E-3,-6.311611831E-2
3.456980875E0,-1.526351273E-1,-3.033259511E-2,-8.009509742E-2
3.467020875E0,-1.534886956E-1,-3.983232751E-2,-7.150229067E-2
3.477060875E0,-1.524271518E-1,-3.032084741E-2,-3.774859011E-2
3.487101875E0,-1.353925616E-1,8.089983836E-3,-1.332583372E-2
3.497141875E0,-1.395585388E-1,2.452302165E-2,-2.106338367E-2
3.507181875E0,-1.236448511E-1,2.855639346E-2,-6.612060964E-2
3.517221875E0,-1.171443388E-1,-2.003324777E-2,-1.007331833E-1
3.527262875E0,-1.109602898E-1,1.731444523E-2,-8.457942307E-2
3.537302875E0,-9.597335011E-2,3.451793641E-2,-4.488713294E-2
3.547342875E0,-8.493376523E-2,8.269561082E-2,-9.736748412E-3
3.557383875E0,-5.983055010E-2,6.765194982E-2,-2.825317346E-2
3.567423875E0,-4.587888718E-2,6.223490462E-2,-6.717558205E-2
3.577463875E0,-2.958699688E-2,1.210462302E-2,-1.073973030E-1
3.587473875E0,-8.431112394E-3,2.371301875E-3,-1.025136039E-1
3.597513875E0,-6.480880082E-3,2.773870900E-2,-5.558044463E-2
3.607553875E0,7.530010305E-3,4.207051173E-2,-2.932780609E-2
3.617594875E0,4.214764386E-2,3.004367650E-2,-3.585042059E-2
3.627634875E0,6.963226199E-2,-1.101827249E-2,-6.926829368E-2
3.637674875E0,8.554545045E-2,-3.330653161E-2,-9.076213837E-2
3.647715875E0,8.792951703E-2,-1.693821326E-2,-9.052378684E-2
3.657755875E0,6.803330034E-2,1.032429934E-2,-6.054671109E-2
3.667795875E0,6.832204759E-2,3.597715124E-2,-4.548957199E-2
3.677835875E0,7.965885848E-2,3.359309211E-2,-4.918790609E-2
3.687876875E0,7.558448613E-2,3.327643871E-2,-6.498630345E-2
3.697916875E0,7.364038378E-2,1.879789867E-2,-7.882675529E-2
3.707956875E0,6.764405221E-2,2.487838827E-2,-7.362038642E-2
3.717966875E0,4.667858407E-2,4.135110229E-2,-6.152297556E-2
3.728006875E0,3.781437501E-2,4.260160401E-2,-5.292956531E-2
3.738047875E0,2.351346798E-2,3.574689478E-2,-4.806530476E-2
3.748087875E0,2.178904042E-2,2.440983243E-2,-5.949985981E-2
3.758127875E0,1.680946164E-2,2.499545924E-2,-6.896952540E-2
3.768167875E0,9.911919013E-3,1.560722105E-2,-7.372137159E-2
3.778208875E0,1.600991935E-3,1.865440980E-2,-6.481336802E-2
3.788248875E0,2.112891525E-5,2.746528946E-2,-5.707212910E-2
3.798288875E0,-8.620562963E-3,2.752573974E-2,-4.930182174E-2
3.808329875E0,-6.287001073E-3,1.046438143E-2,-6.070730090E-2
3.818369875E0,-9.082522243E-3,2.090131119E-2,-6.500750780E-2
3.828409875E0,-1.190685295E-2,2.113064937E-2,-6.784418970E-2
3.838449875E0,-6.352297962E-3,1.340508647E-2,-7.045967877E-2
3.848490875E0,-9.757452644E-3,1.293536462E-2,-5.882515758E-2
3.858499875E0,-4.827142693E-3,1.178308390E-3,-5.417368561E-2
